Corporation,SDGs_round1,SDGs_round2,Source Name,Source,Source Type,Source Date,Source Author,Explicit or Implicit,Notes,Relevant Country,Project,Entryist Initials
Adobe,"4, 5, 8, 12, 13",,Adobe Alignment to UN Sustainable Development Goals,https://www.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/SDG_Alignment.pdf,PDF,8/1/18,N/A,Explicit,Adobe is a powerhouse for SDGs. but not for 3 and 11. ,U.S.,,JET
ADP,"1,2,3,4,5,8,10,13",,Corporate Social Responsibility Report,https://www.adp.com/about-adp/corporate-social-responsibility/-/media/ED7CA74E0359401EBC55042B5738772D.ashx,PDF,2/1/18,N/A,Implicit,"Very passionate about environmental sustainability and diveristy and inclusion in the workplace. They donated hundreds of thousands of dollars to Oxfam International, Habitat for Humanity, and Midas. I would say that the biggest focuses are education, diversity, and poverty (4, 10, 1). 12 (responsible consumption) and 7 (clean energy)  are internal projects for the company. ","Zambia, Uganda, Swaziland, Belize, El Salvador, Haiti, U.S., Chile, India, Romania, Philippines",,JET
Alpha Software,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"I spent too long trying to look for corporate or social responsibility briefs. The company might be too small to focus on these topics, especially on an international scale.",N/A,,JET
Altum,2,,Community,https://www.altum.com/community-page/,Webpage,N/A,N/A,Implicit,They are foucsed more on their local community than the international community.,U.S.,,JET
Amazon Web Services,"7, 13, 14, 15",,AWS & Sustainability,https://aws.amazon.com/about-aws/sustainability/,Webpage,N/A,N/A,Implicit,"AWS is very into enviornmental sustainability and has supported numerous wind and solar farms. Their parent organization might be more committed to more goals, but I'm unsure if I should look at the parent organization (Amazon). ",U.S.,,JET
Arreva,N/A,,N/A,N/A,N/A,N/A,N/A,NA,The company is small and provides non-profits with software for fundraising and event planning. They do not have a sustainability branch or platform because they are small. ,N/A,,JET
Asana,10,,Real Talk: Fostering diversity and inclusion through honest conversations,https://blog.asana.com/2018/11/real-talk-event-series/,Blog,11/9/18,Allie Joel,Implicit,"It's still a start-up, so  don't think they have turned to social responsbility just yet. ",U.S.,,JET
Atlas Business Solutions,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"Seems to be a very local , domestic company.",N/A,,JET
Autodesk,"7, 13, 15",,Corporate Responsibility,https://www.autodesk.com/sustainability/business-operations,Webpage,N/A,N/A,Implicit,A webpage highlighting AutoDesk's commitment to green and renewable energy.,U.S.,,JET
Autodesk,"4, 11, 19",,Who We Support,http://www.autodesk.org/who-we-support/stories/water-for-people,Webpage,N/A,N/A,Implicit,"A webpage highlighting the company's major philanthrophic partners (Water for People and MASS Design Group). These organizations work international and Implicit support goals 4 and 11, respectively.","Honduras, Bolivia, India, Malawai, Zambia",,JET
Autodesk,"7,9,11,12",,Autodesk FY2018 Sustainability Report,https://damassets.autodesk.net/content/dam/autodesk/www/sustainability/docs/pdf/autodesk-fy2018-sustainability-report.pdf,PDF,2018,N/A,Explicit,"This source is a goldmine and shows explicit support for SDG 11! Basically, they provide software for engineering and architecture projects. Recognizing the rapid urbanization that is ocurring globally, they've committed their company to envrionmental and urban sustainability. Goal 11 seems to be very important to them and theu focus on the necessity of sustainable, resilient urban growth. ",U.S.,,JET
AvePoint,N/A,,N/A,N/A,N/A,N/A,N/A,NA,It's focused more on promoting and advertising its products.,N/A,,JET
Azavea,"11, 13",,Reflections from the UN World Data Forum ,https://www.azavea.com/blog/2018/11/09/reflections-from-the-un-world-data-forum/,Blog,"November 9th, 2018",Ross Bernet,Explicit,"This article wasn't so much saying that the company does support these goals, but that they should because they are uniquely positioned to support them. The company focuses on geospatial data, so deforestation and urban growth are of particular relevance to them. ",U.S.,,JET
Bitdefender,N/A,,N/A,N/A,N/A,N/A,N/A,NA,There isn't much about CSR. ,N/A,,JET
Blackbaud,17,,Blackbaud Social Responsbility Report,https://campaign.blackbaud.com/docs/librariesprovider5/campaign-docs/2018_blackbaudsocialresponsibilityreport.pdf,CSR Report (PDF),10/23/18,N/A,Explicit,"""We support SDG 17—to revitalize the global partnership for sustainable development—with the work we do every day through technology innovations, sector research, and valuable partnerships in the social good community.""",Global,,JET
Blackbaud,11,,Blackbaud Social Responsbility Report,https://campaign.blackbaud.com/docs/librariesprovider5/campaign-docs/2018_blackbaudsocialresponsibilityreport.pdf,CSR Report (PDF),10/23/18,N/A,Implicit,"""We are proud to contribute to cities around the world where our more than 3,400 employees live and
work. We give back to every city we work in through our Blackbaud Community Matters Grants, an
employee-led program that distributes funds to local nonprofits. 2018 recipients of the grant included
organizations from around the world, like Austin Bat Cave in Austin, Football Beyond Borders in
London, Give a Dog A Bone in Glasgow, KYDS in Sydney, Girlventures in San Francisco, and Byte Back
in Washington, DC. In addition, the largest gift in our company’s history was a $1 million gift to the
International African American Museum in Charleston, South Carolina, the home of our headquarters,
which helped the organization reach funding and start the building phase.""","U.S., the United Kingdom",,
Bloomerang,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"The focus of the organization is to help corporations make donations and considering that this does good, I'm not sure that they focus specifically on corporate responsbility. ",N/A,,JET
Box,N/A,,Box.org Birthday Brief,https://cloud.app.box.com/s/xbg8l4ldjvtb9g7ubp9f5yor525rhw57,Brief,N/A,N/A,NA,"Box.org partners with many non-profits, but it doesn't seem like they do much beyond lending their services to local partners.",N/A,,JET
Bytes of Learning,4,,N/A,N/A,N/A,N/A,N/A,Implicit,"It is a very small, education-based organization, so I'll say that they Implicit support SDG 4. ",U.S.,,JET
Cisco,"1,2,3,4,5,6,7,8,9,11,12,13,14,15, 17",,CSR Report 2018,https://www.cisco.com/c/dam/assets/csr/pdf/CSR-Report-2018.pdf,CSR Report (PDF),18-Dec,N/A,Explicit,"Goldmine! CSR Reports for companies continue to be the best resources for finding explicit support for UN SDGs. They not only show the support, but list donor partners and countries in which they are working with these partners. ""Cisco also recognizes the importance of the UN Sustainable Development Goals (SDGs), a set of global aspirations necessary to shift the world toward greater sustainability and resilience. Our CSR programs and strategies, many of which have been in place for more than a decade, support several of the SDGs. The alignment of Cisco’s programs with the SDGs is highlighted in our UNSDG Index here. Our CSR approach continues to focus on leveraging our technology, people, and partners to advance positive social and environmental impact. ",Global,,JET
Cisco,11,,Cities and Communities,https://www.cisco.com/c/en/us/solutions/industries/smart-connected-communities.html,Webpage,N/A,N/A,Implicit,,,,JET
Cisco,3,,Cisco Technology Grant Helps Trek Medics Build Do-It-Yourself 9-1-1 Communications Systems for Disaster-Affected Communities,https://www.trekmedics.org/blog/cisco-grant-for-disasters/,Webpage,"February 5th, 2019",N/A,Implicit,,,,JET
Cisco,3,,CSR Partner: Living Goods,https://www.cisco.com/c/en/us/about/csr/community/partners/living-goods-partner.html,Webpage,N/A,N/A,Implicit,,,,JET
CitySoft,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
ClickTime,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
Comodo,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
Connect2give,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
Dell,"3,4,7,8,9, 10,12,13,17",,Support for SDGs,https://legacyofgood.dell.com/support-sdg.htm,Webpage,N/A,N/A,Explicit,https://legacyofgood.dell.com/communities/revolutionizing-indias-rural-healthcare-through-technology.htm,India,,JET
Dharma Merchant Services,,,Dharma's Green Chart,https://dharmamerchantservices.com/green-chart/,Webpage,N/A,N/A,Implicit,,,,JET
DocuSign,"12, 13",,DocuSign Delivers Green by Saving Businesses 837 Tons of Paper and Millions in Greenbacks,https://www.docusign.com/press-releases/docusign-delivers-green-by-saving-businesses-837-tons-of-paper-and-millions-in,Webpage,N/A,N/A,Implicit,Saves paper,Local,,JET
DonorPerfect,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
Efficient Elements,N/A,,Corporate Social Responsbility,https://www.efficient-elements.com/csr/,Webpage,N/A,N/A,NA,They're dedicated to supported non-profits,"Germany, USA",,JET
FileMaker,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
Flipcause,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
FlixBus,"7,13, 15",,Green Travel with FlixBus,https://www.flixbus.com/company/sustainability,Webpage,N/A,N/A,Implicit,"""At FlixMobility, our goal is to provide green and smart mobility options as alternatives to the private car. Bus travel is one of the eco-friendliest modes of transportation, and at FlixBus we take sustainability to the next level."" ""FlixBus CO2 Compensation Ticket donations are financing atmosfair’s UN-accredited Gold Standard Climate Protection Project Cleaner Cook Stoves in Rwanda."" https://www.atmosfair.de/en/climate-protection-projects/energy_efficiency/rwanda/",Rwanda,,JET
GrantStation,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"Small, commerical company",,,JET
Headsets.com,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"Small, commerical company",N/A,,JET
Horizon DataSys,N/A,,N/A,N/A,N/A,N/A,N/A,NA,"Small, commerical company",N/A,,JET
HP Inc.,4,,"HP Commits to Educate 100,000 Across Africa in the Next Three Years, Opens HP LIFE Center for Entrepreneurship in South Africa",http://www.csrwire.com/press_releases/41593-HP-Commits-to-Educate-100-000-Across-Africa-in-the-Next-Three-Years-Opens-HP-LIFE-Center-for-Entrepreneurship-in-South-Africa,Press Release,12/3/18,N/A,Implicit,,South Africa,,JET
HP Inc.,"4, 5",,"HP, the Clooney Foundation for Justice, UNICEF and Google.org Shine Spotlight on Education",http://www.csrwire.com/press_releases/41447-HP-the-Clooney-Foundation-for-Justice-UNICEF-and-Google-org-Shine-Spotlight-on-Education,Press Release,11-Oct-18,N/A,Implicit,,Lebanon,,JET
HP Inc.,4,,HP and Girl Rising Celebrate International Day of the Girl with 12 Stories of Empowerment from Around the Glo,http://www.csrwire.com/press_releases/41446-HP-and-Girl-Rising-Celebrate-International-Day-of-the-Girl-with-12-Stories-of-Empowerment-from-Around-the-Globe,Press Release,11-Oct-18,N/A,Implicit,,"Nigeria, Uganda, DRC, Afghanistan",,JET
HP Inc.,"4,5,8,10,11, 12,13",,2017 Sustainable Impact Report,http://h20195.www2.hp.com/V2/GetDocument.aspx?docname=c05968415,PDF,,,Explicit,,,,JET
HR Solutions Partners,N/A,,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,,JET
Intuit,"4, 13",,Intuit Corporate Social Responsbility Report,https://www.intuit.com/content/dam/intuit/intuitcom/documents/company/intuit-csr-report-2018.pdf,PDF,N/A,N/A,Implicit,"""Intuit supports the Learning for Life program, focused on improving educational outcomes for disadvantaged young Australians."" "" Projects include clean cook
stoves in India, Guatemala and Kenya, and community–based
forest preservation projects in Madagascar, Borneo, Brazil,
Zimbabwe and Sierra Leone""","United States, Australia, India, Guatemala, Kenya, Madagascar, Borneo, Brazil,
Zimbabwe, and Sierra Leone",,JET
InFocus,"3,5,9,10,16",,Corporate Responsiblity Policy,http://www.infocusresources.com/about/csr,Webpage,N/A,N/A,Implicit,"Ensure fair pay and conditions for our workers. 
Recruit locally and ensure diversity and equal opportunities in the workforce.
Respect the rights of our workforce to enter into collective bargaining arrangements and join trades unions.
Consult our workforce on our proposals, especially regards health & safety and significant organisational change.
We maintain our premises to provide a safe, healthy working environment where people want to work.
Will not tolerate any discrimination or harassment of people or others.
Ensure that no bribery, corruption or fraud occurs within our company, and that we operate in a sound and ethical way.
",United States (local),,JET
JourneyEd.com,4,,Homepage,http://www.journeyed.com/,Homepage,N/A,N/A,Implicit,,United States,,JET
Lenovo,"4,5,8,9,12,13",,2017-2018 CSR Report,https://www.lenovo.com/us/en/social_responsibility/2017.18-lenovo-sustainability-report.pdf,PDF,N/A,N/A,Explicit,"""Lenovo has well-established programs to ensure
we operate sustainably and responsibly, following
our long-standing commitment to ethical corporate
citizenship and promoting sustainability in all our
activities. We became a Global Compact signatory
in 2009. There are aspects of our business,
projects, programs and activities that we can
readily identify as contributing toward achieving
SDGs""",Global,,JET
Linksys (Belkin),"12, 16",8,Belkin Statement on Slavery and Human Trafficking,https://www.linksys.com/us/supply-chain-responsibility/,Webpage,NA,NA,Implicit,,United States,,KMW
Litmos,NA,,NA,NA,NA,NA,NA,NA,"Litmos is a training platform that can be used in the nonprofit or healthcare setting. Can be seen as education centric, but debatable",NA,,KMW
Little Green Light,17,17,About (Our Team),https://www.littlegreenlight.com/about/,Webpage,NA,NA,Implicit,"""Little Green Light helps nonprofits improve fundraising and donor relationships""",,,KMW
LogMeIn (formerly Citrix),,17,Corporate Social Responsibility,https://www.logmeininc.com/corporate-social-responsibility,Webpage,NA,NA,Implicit,"""In addition to our investments, LogMeIn employees are given 16 hours a year to volunteer and participate in a wide range of activities from sorting food at local food banks, preparing meals for the homeless and underserved, helping students with entrepreneurial skills, interview and resume writing, packing clothing and supplies for children to teaching youth programming skills.""",United States ,Mission Posibble: Employee Volunteering,KMW
LogMeIn (formerly Citrix),,4,"STEM IN, LOGMEIN’S STEM EDUCATION INITIATIVE, REACHES 500+ KIDS AROUND THE GLOBE!",https://blog.logmeininc.com/stem-in-logmeins-stem-education-initiative-reaches-500-kids-around-the-globe/,Blog,12/20/18,Paddy Srinivasan,Implicit,"""STEM In initiative to create, participate in, and sponsor engaging STEM (science, technology, engineering and math) focused activities and programs geared towards children and young adults.""","United States, India, Germany",STEM IN,KMW
LogMeIn (formerly Citrix),"2, 4, 11, 12","3, 4, 11, 12",Corporate Social Responsibility,https://www.logmeininc.com/corporate-social-responsibility,Webpage,NA,NA,Explicit,"Explicitly mentions SDGs, but did not explicitly connect programs to the SDGs they thought they addressed",United States,,KMW
Mailshell,16,16,Twitter: @Mailshell,https://twitter.com/Mailshell/status/48467199517671425,Tweet,3/17/11,@MailShell,Implicit,"""Private industry has an opportunity and responsibility to create tech innovations that help law enforcements’ efforts. http://goo.gl/UkOdA""",,,KMW
Microsoft,"4, 5, 8, 10, 11, 12, 13",,2018 Microsoft Corporate Social Responsibility report highlights,2018-Microsoft-CSR-Report-Highlights.pdf,Report,2018,NA,Implicit,,"United States, Globe",,KMW
Microsoft,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",,Our commitment to sustainable development,https://www.microsoft.com/en-us/corporate-responsibility/un-sdgs,Webpage,NA,NA,Explicit,They just listed all the SDGs on this page; disconnect between talking about actual programs and the SDGs,,,KMW
MileIQ,NA,,MileIQ,https://www.mileiq.com/,Webpage,NA,NA,NA,MileIQ is a subsidary of Microsoft. See Microsoft SDG commitments,NA,,KMW
Mobile Beacon,"3, 4, 10, 17","4, 17",Our Mission,https://www.mobilebeacon.org/who-we-are/our-mission/,Webpage,NA,NA,Implicit,"""In a world of limited resources, we believe connecting nonprofits, schools and community anchor institutions is a critical investment in our nation’s future. Working in partnership with them, we can improve broadband access and digital literacy for millions of Americans, especially underserved groups such as the elderly, low-income and disabled.""",United States,,KMW
NonProfitEasy,17,17,Company Mission,https://www.nonprofiteasy.com/Company-Mission,Webpage,NA,NA,Implicit,"""Challenging the status quo for the greater good and changing the way nonprofits serve their communities""",,,KMW
Oracle NetSuite Social Impact,17,17,Mission,http://www.netsuite.com/portal/industries/nonprofit/social-impact.shtml,Webpage,NA,NA,Implicit,"""Our mission is to support the success of nonprofits globally through the power of cloud technology. We offer product donations and discounts, pro bono services and capacity building to support organizations of all sizes in growing their mission.""","Global, United States, United Kingdom, France, Australia, China, Hong Kong, Japan, Singapore, Netherlands, Germany, Sweden","Donations, Discounts, and Pro Bono",KMW
PayAnywhere,NA,,NA,NA,NA,NA,NA,NA,No information found regarding SDGs,NA,,KMW
People-OnTheGo,NA,,NA,http://www.people-onthego.com/,NA,NA,NA,NA,"A rather flimsy argument could be made for SDG 3 about wellbeing, since their webinars are often about mindfulness, but it's all in terms of company profit and efficiency",NA,,KMW
Priority,"2, 3",17,Priority Gives Back,https://www.priority-software.com/us/about-us/corporate-responsibility-2/,Webpage,NA,NA,Implicit,"Employee volunteer program without main commitments; ""This is achieved through packing and distributing holiday gift baskets, hosting costume parties with entertainment and surprises at a local children’s hospital, volunteer house painting for the aged and underprivileged, and harvesting fruit and vegetables several times a year, all of which are donated to needy families.""",United States,Priority Gives Back,KMW
QuestionPro,"3, 4",,,,,,,,"QuestionPro cites case studies of situations where their products were used for good things, but expresses no particular support for them.",,,KMW
QuickBooks Made Easy,17,17,About Us,https://quickbooksmadeeasy.com/about-us/,Webpage,NA,NA,Implicit,"""Presently, Gregg is teaching a live seminar designed exclusively for nonprofit organizations around the country.""",United States,Non-profit Seminar Series,KMW
Rain Design,"11, 13",,,,,,,,,,,
Reading Eggs,4,4,Who We Are,https://dev.blake.com.au/,Webpage,NA,NA,Implicit,"""Our mission is to help millions of kids around the world improve their literacy and numeracy skills in both a home and school setting.""","Australia, Global",,KMW
Reading Eggs,4,4,About Blake eLearning,https://readingeggs.com/about-blake/,Webpage,NA,NA,Implicit,"""Blake eLearning is a highly experienced team that specializes in creating high quality literacy products for schools and educators throughout the world""","United States, Global",,KMW
Refurbished Computers: Akooba,"11, 13",11,Building sustianability through environmentally responsible electronic reycling,https://www.akooba.com/electronics-recycling,Webpage,NA,NA,Implicit,"""Our Zero Landfill Policy represents our commitment to electronic recycling as we attempt to keep all electronics that pass through our facilities out of landfills.""",United States,,KMW
Refurbished Computers: BlueRange Technology,3,,Healthcare Products,http://www.bluerangetech.com/healthcare-products/,Webpage,NA,NA,Implicit,"""BlueRange Technology partners with pharmaceutical institutions, hospitals and other healthcare facilities to delivery complete IT solutions. """,United States,,KMW
Refurbished Computers: BlueRange Technology,4,4,Education: High Quality Hardware for Education Technology,http://www.bluerangetech.com/edu/,Webpage,NA,NA,Implicit,"""our full-service IT solutions offer K-12 schools new and certified refurbished computers and computer equipment,""",United States,,KMW
Refurbished Computers: InterConnection,,4,Impact: Creating Opportunity Through Access to Technology,https://interconnection.org/impact.php,Webpage,NA,NA,Implicit,"""In Chile, InterConnection provided 1,000 computers to rural schools.""",Chile,Donations to Rural Chilean Schools,KMW
Refurbished Computers: InterConnection,"1, 3, 4, 10, 17","3, 4, 17",Impact: Creating Opportunity Through Access to Technology,https://interconnection.org/impact.php,Webpage,NA,NA,Implicit,"""...bridge the digital divide.""; ""...provides a way to track and monitor cancer patients in third world countries, teach HIV education or allow an individual or family the opportunity to improve their lives.""; ""We offer laptops and desktops to low-income families and students at the lowest price possible""; ""Donations to InterConnection help us cut the average cost of setting up a computer lab in a school, library or community center by over 70%."" ; ""Every month, more than 200 nonprofits receive computers from InterConnection.""; """,Global,,KMW
Refurbished Computers: InterConnection,"11, 12, 13",11,Environmental Impact: Preserving Our Forests & Streams,https://interconnection.org/give_rec_vs_reuse.php,Webpage,NA,NA,Implicit,,NA,,KMW
